2020-08-25T13:17:16.845-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:54:04.021-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:58:05.692-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T18:55:50.754-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T18:57:03.450-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T18:58:13.385-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T18:59:03.743-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:06:14.311-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:07:32.111-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:09:33.363-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:10:43.248-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:10:52.124-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:11:14.424-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:12:00.038-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:23:28.925-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:38:17.240-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:39:38.338-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:50:47.044-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:53:46.510-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:55:36.351-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:55:55.258-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T19:57:12.078-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:02:16.959-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:02:58.619-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:07:18.501-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:07:34.129-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:11:51.953-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T20:13:07.934-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:12:17.668-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:36:42.033-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:38:07.788-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:45:28.657-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:45:43.674-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:46:06.261-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:46:50.313-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T09:56:16.050-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:00:06.911-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:11:58.357-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:21:05.671-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:22:43.815-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:23:49.064-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:24:05.180-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:24:12.459-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:24:47.540-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:27:32.001-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:29:11.713-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:30:03.886-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:30:42.585-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:31:45.557-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:32:09.260-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:32:27.587-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:32:55.355-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:33:20.182-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:34:16.169-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:34:51.886-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:35:42.993-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:37:59-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:39:20.434-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:39:46.192-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:40:54.095-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:45:43.347-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T10:58:37.691-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T11:32:11.550-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T12:26:48.388-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Unsuccessful.
2020-08-26T12:26:53.502-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T12:49:43.265-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T16:37:17.388-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T16:42:03.786-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-26T16:47:21.008-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
